person_id,name,primary_name
i-2XreRSaEpTa5DhpG61Xopj,Svensson,false
i-2YMXTmw5qRAptNNy3BUrrF,Eric Westroth,true
i-2ZcLNQ889BCYDFJuLZT77S,Bengt Wiklund,true
i-2ZcLNQ889BCYDFJuLZT77S,Wikberg,false
i-2ZcLNQ889BCYDFJuLZT77S,Wiklund,false
i-2a9yXCcfoERLmntQKS8293,Johan Johansson,true
i-2a9yXCcfoERLmntQKS8293,Johansson,false
i-2aLsMrZn1hqtCu1i2qehWZ,Anders Gustaf Hollander,true
i-2aLsMrZn1hqtCu1i2qehWZ,Hollander,false
i-2aZQBvMx8o6ihusfvExbt8,Alice Åström,true
i-2ajxL1uZzxQsvJXngW96hD,Gädda,false
i-2ajxL1uZzxQsvJXngW96hD,Octo Emanuel Gädda,false
i-2ajxL1uZzxQsvJXngW96hD,Octo Gädda,true
i-2b1P9oc6jJ6GnNxViy4qgD,Albrecht Theodor Odelberg,false
i-2b1P9oc6jJ6GnNxViy4qgD,Odelberg,false
i-2b1P9oc6jJ6GnNxViy4qgD,Theodor Odelberg,true
i-2bEkAbRqkiPnYQgPpHXARx,August Ljunggren,true
i-2bEkAbRqkiPnYQgPpHXARx,Ljunggren,false
i-2bU177zRXqttE4vR8aEJ97,Claes-Göran Larsson,true
i-2bU177zRXqttE4vR8aEJ97,Elis Clas Göran Larsson,false
i-2bVVLzWvNsURiiwq5jSQS9,Adlercreutz,false
i-2bVVLzWvNsURiiwq5jSQS9,Axel Aldercreutz,false
i-2bVVLzWvNsURiiwq5jSQS9,Axel Gustaf Adlercreutz,true
i-2c9rVAoZGjLhTDcwaorNo9,Niklas Karlsson,true
i-2cLoxXq5VAxu3RYfzsD3qx,Dahlberg,false
i-2cLoxXq5VAxu3RYfzsD3qx,Karl Thure Dahlberg,false
i-2cLoxXq5VAxu3RYfzsD3qx,Thure Dahlberg,true
i-2cU2TDpPdwZBz4RUDmpFhN,Lennart Bodén,true
i-2cnJx4mhacW8chNFTQpsG2,Edward Larson,true
i-2cnJx4mhacW8chNFTQpsG2,Larson,false
i-2cnJx4mhacW8chNFTQpsG2,Victor Edward Larson,false
i-2cnJx4mhacW8chNFTQpsG2,Viktor Edward Larson,false
i-2cpV6hJCWGQCKgBk3DdpjN,Andreas Svensson,true
i-2cpV6hJCWGQCKgBk3DdpjN,Svensson,false
i-2dY1SGv8Hf9ixu6QkJdDsP,Carl Theodor af Ekenstam,false
i-2dY1SGv8Hf9ixu6QkJdDsP,Theodor af Ekenstam,true
i-2dY1SGv8Hf9ixu6QkJdDsP,af Ekenstam,false
i-2df2xZBhrGFQtv1eBMHDtu,Källenius,false
i-2df2xZBhrGFQtv1eBMHDtu,Sten Ivar Rune Källenius,false
i-2df2xZBhrGFQtv1eBMHDtu,Sten Källenius,true
i-2drk6Ji3xqAraxv3JSzgNa,Hansson,false
i-2drk6Ji3xqAraxv3JSzgNa,Tage Hansson,true
i-2drk6Ji3xqAraxv3JSzgNa,Tage Tycko Hansson,false
i-2dwC5U2RuvHwfhzcwB91oo,Mattias Eriksson Falk,true
i-2eSXk1Vkv7uy5sKwa29vbf,Dahl,false
i-2eSXk1Vkv7uy5sKwa29vbf,Einar Dahl,true
i-2eSXk1Vkv7uy5sKwa29vbf,Einar Vilhelm Robert Dahl,false
i-2ecW5cyGVGYBknd3U9yN1Y,Olof Olsson,true
i-2ecW5cyGVGYBknd3U9yN1Y,Olsson,false
i-2ehtmACUZPNJMNnS5o3dYB,Gerhard Lagerstråle,true
i-2ehtmACUZPNJMNnS5o3dYB,Henrik Gerhard Lagerstråle,false
i-2ehtmACUZPNJMNnS5o3dYB,Lagerstråle,false
i-2erDJuffjtgN8bt6dbUTTo,Gustaf Jonnergård,true
i-2erDJuffjtgN8bt6dbUTTo,Jonnergård,false
i-2f68PZTku6uz8VKADy2Dk9,Nils Claëson,true
i-2f68PZTku6uz8VKADy2Dk9,Nils Ludvig Alfred Claëson,false
i-2fr3vB32hz5Z6xAxeRqads,Martin Ådahl,true
i-2fr3vB32hz5Z6xAxeRqads,Sven Martin Andreas Ådahl,false
i-2gBVxM8igvS4RQ1T5GE8Qp,Igel,false
i-2gBVxM8igvS4RQ1T5GE8Qp,Johan Igel,true
i-2gFz918CyUZkTuGwyS9VJt,Harald Ström,true
i-2gFz918CyUZkTuGwyS9VJt,Olof Harald Ström,false
i-2gFz918CyUZkTuGwyS9VJt,Ström,false
i-2gVYhZWa58g5m2RXWT7M2K,Carl Kjellberg,true
i-2gVYhZWa58g5m2RXWT7M2K,Carl Ossian Kjellberg,false
i-2gVYhZWa58g5m2RXWT7M2K,Kjellberg,false
i-2ggBvfkHRn3s8FvFEPLxjs,Agne Hansson,true
i-2ggBvfkHRn3s8FvFEPLxjs,Hansson,false
i-2gvrXtH5sAT9PgXsCVpQSW,Hjalmarson,false
i-2gvrXtH5sAT9PgXsCVpQSW,Jarl Harald Hjalmarsson,false
i-2gvrXtH5sAT9PgXsCVpQSW,Jarl Hjalmarson,true
i-2hfMSTsSUKSgHWaXH2bxMc,August Tamm,true
i-2hfMSTsSUKSgHWaXH2bxMc,Carl August Tamm,false
i-2hfMSTsSUKSgHWaXH2bxMc,Tamm,false
i-2idvkVsaizPjHffjy7Fqpg,August Helmer Hedström,false
i-2idvkVsaizPjHffjy7Fqpg,Hedström,false
i-2idvkVsaizPjHffjy7Fqpg,Helmer Hedström,true
i-2iv2nn2jyQ2zuGPcP4w62p,Alvin,false
i-2iv2nn2jyQ2zuGPcP4w62p,Lars Alvin,true
i-2iv2nn2jyQ2zuGPcP4w62p,Lars Andersson Alvin,false
i-2jDQuhvFoLEMg5TXt8wPgR,Johannes Jonson,true
i-2jDQuhvFoLEMg5TXt8wPgR,Jonson,false
i-2jDvJSMx2FdCk8pZegcj1o,Berndt Oscar Stackelberg,false
i-2jDvJSMx2FdCk8pZegcj1o,Oscar Stackelberg,true
i-2jDvJSMx2FdCk8pZegcj1o,Stackelberg,false
i-2kBxj9K56e436Bc1ZLBqtp,Karl Johan Sandegård,false
i-2kBxj9K56e436Bc1ZLBqtp,Karl Sandegård,true
i-2kBxj9K56e436Bc1ZLBqtp,Sandegård,false
i-2kLR1QFBRK4TzA8EaYwdB4,Edvard Svensson,true
i-2kLR1QFBRK4TzA8EaYwdB4,Edward Svensson,false
i-2kLR1QFBRK4TzA8EaYwdB4,Svensson,false
i-2kXWA54DYtEaQ9G6hutqL8,Axel Samuel Emanuel Larsson,false
i-2kXWA54DYtEaQ9G6hutqL8,Larsson,false
i-2kXWA54DYtEaQ9G6hutqL8,Sam Larsson,true
i-2mNEN1Zszf1P35pk3WZQhH,Karl Lennart Michael Hagberg,false
i-2mNEN1Zszf1P35pk3WZQhH,Michael Hagberg,true
i-2mWi9vtkPfa94zF2iziK1h,Henning Ferdinand Nilsson,false
i-2mWi9vtkPfa94zF2iziK1h,Henning Nilsson,true
i-2mWi9vtkPfa94zF2iziK1h,Nilsson,false
i-2myDq8jven5AQJys1pxuxQ,Johan Larsson,true
i-2myDq8jven5AQJys1pxuxQ,Larsson,false
i-2p8ymXYjHPTSuKVZSU7E3o,Gustav Edvard Lundgren,true
i-2p8ymXYjHPTSuKVZSU7E3o,Lundgren,false
i-2pEgGvjfozTyRxyzmLZFo2,Lundkvist,false
i-2pEgGvjfozTyRxyzmLZFo2,Svante Lundkvist,true
i-2pS6NnNWBF8o836MN5u48Z,Engström,false
i-2pS6NnNWBF8o836MN5u48Z,Georg Engström,true
i-2pSu5RxcjvCMDWHtdu6yGh,John Norén,true
i-2pSu5RxcjvCMDWHtdu6yGh,Norén,false
i-2phsMxb358E6BizcJsgiPa,Ekman,false
i-2phsMxb358E6BizcJsgiPa,Fritjof Ekman,true
i-2phsMxb358E6BizcJsgiPa,Johan Fritjof Ekman,false
i-2qMAGUo6yhpbSovQ2eHBVE,Bergman,false
i-2qMAGUo6yhpbSovQ2eHBVE,Holger Bergman,true
i-2qpXYDWyLKFhrmxJnaW7rv,Albert Forsell,true
i-2qpXYDWyLKFhrmxJnaW7rv,Forsell,false
i-2qpXYDWyLKFhrmxJnaW7rv,G Albert Forsell,false
i-2s4LCeKYMJUyy8FKE3ewMN,Lena Emilsson,true
i-2sXH8re5NKjPFTXLjjke7b,Kajerdt,false
i-2sXH8re5NKjPFTXLjjke7b,Robert Kajerdt,true
i-2t9Vp7JX4pqR6fx9wurVt3,Carl Otto Larsson,true
i-2t9Vp7JX4pqR6fx9wurVt3,Larsson,false
i-2tbdBcby74PFaeUyCBPwWD,Helmer Molander,true
i-2tbdBcby74PFaeUyCBPwWD,Molander,false
i-2uMH5aDkHeeZUeQKUH1yLp,Lennart Bolander,true
i-2uUNwmjsyRbGEqGQmTMGoq,Ernst Hjalmar Nyström,false
i-2uUNwmjsyRbGEqGQmTMGoq,Hjalmar Nyström,true
i-2uUNwmjsyRbGEqGQmTMGoq,Nyström,false
i-2ugyM6pSMg5iuEaP9k2J9q,Louise Charlotte Elahe Thunström,false
i-2ugyM6pSMg5iuEaP9k2J9q,Louise Thunström,true
