person_id,start,end,government,role
i-4qJ1WSYreoe9MGDFPCwZKy,,1998-10-07,Regeringen Persson,minister för nordiskt samarbete
i-4tfAWyiZEpB3Ss1Fh6QzqC,,1996-06-30,Regeringen Persson,civilminister
i-QtJg9oNHiDkHLkgiCwmrBb,,1998-10-07,Regeringen Persson,landsbygdsminister
i-6ETHRvdQXy7JyB6UH2jtzU,,,Regeringen Posse,statsminister
i-Co4TBMcmY1januJCiyZRoy,,,Regeringen Posse,konsultativt statsråd
i-JfeGt9yjyj9GWsh4V8G87r,,,Regeringen Posse,konsultativt statsråd
i-2b1P9oc6jJ6GnNxViy4qgD,,,Regeringen Ramstedt,landsbygdsminister
i-Ah2GaXbPFmZmazHpBVHvGy,,,Regeringen Ramstedt,statsminister
i-EUSebT6iNRdbBryXZXBgSW,,,Regeringen Ramstedt,konsultativt statsråd
i-KQCpp7fPS6JnGzNC3a24bc,,1905-06-19,Regeringen Ramstedt,konsultativt statsråd
i-DnTstrvT1jenyw6pdMxfZi,,2007-09-05,Regeringen Reinfeldt,försvarsminister
i-XgRZtFgzPDL7KcwsDvGVej,,,Regeringen Reinfeldt,statsminister
i-9xnJYWRw1BWmFV8LVCC5EH,,,Regeringen Staaff I,landsbygdsminister
i-Hr1HTFqifdBa5H1eAGcaEu,,,Regeringen Staaff I,statsminister
i-FNvuqdN5bu7HwDNrzpb3ij,,,Regeringen Staaff II,konsultativt statsråd
i-Hr1HTFqifdBa5H1eAGcaEu,,,Regeringen Staaff II,statsminister
i-Co4TBMcmY1januJCiyZRoy,,,Regeringen Themptander,konsultativt statsråd
i-GZ8zgKrERmYzyqE3k77bWB,,1887-10-04,Regeringen Themptander,lantförsvarsminister
i-JfeGt9yjyj9GWsh4V8G87r,,,Regeringen Themptander,konsultativt statsråd
i-QUa4DaEpHiH6GESrfLsxWi,,1885-09-25,Regeringen Themptander,utrikesminister
i-WvZ8kwXQvoFrcSjSJt2YfH,,,Regeringen Themptander,statsminister
i-Co4TBMcmY1januJCiyZRoy,,,Regeringen Thyselius,konsultativt statsråd
i-DZAnqjUMmj8qFZsvGfjxRv,,,Regeringen Thyselius,statsminister
i-GZ8zgKrERmYzyqE3k77bWB,,,Regeringen Thyselius,lantförsvarsminister
i-JfeGt9yjyj9GWsh4V8G87r,,,Regeringen Thyselius,konsultativt statsråd
i-KaBa73f9cDZ3KHsxdHYgui,,1883-10-05,Regeringen Thyselius,civilminister
i-4BfdTWABvwYtdUHg7su5aZ,,,Regeringen Ullsten,försvarsminister
i-4uJEFdvmwfbMmozZhv5XDY,,,Regeringen Ullsten,statsminister
i-F4Pzs4iARRvqG686ESA9J,,,Regeringen Ullsten,infrastrukturminister
i-GebX3kmqSPBTWucSe5EXUh,,,Regeringen Ullsten,biståndsminister
i-TLnEcKgBYha1pdFTVEbAvk,,,Regeringen Ullsten,landsbygdsminister
i-8s82sZqLm7pvUHTtpv2LZG,,,Regeringen Åkerhielm,konsultativt statsråd
i-Yb23sPR2Dq5DQnFXhF6X1t,,,Regeringen Åkerhielm,civilminister
i-nScanqUU78nhbW9ef8XLW,,,Regeringen Åkerhielm,statsminister
i-HoKrvTnXU5eTu8LVqgLr9p,1840-05-16,1841-01-14,Regeringen Mauritz Posse I,konsultativt statsråd
i-HoKrvTnXU5eTu8LVqgLr9p,1840-05-16,1841-01-14,Regeringen Törnebladh,konsultativt statsråd
i-MnmWHgCQdxCxJPgqYFNWF9,1842-12-29,1848-04-10,Regeringen Gyllenhaal,finansminister
i-r1VTfFi2u63HbDnjDKUPf,1842-12-29,1844-05-18,Regeringen Gyllenhaal,ecklesiastikminister
i-MnmWHgCQdxCxJPgqYFNWF9,1842-12-29,1848-04-10,Regeringen Mauritz Posse II,finansminister
i-MnmWHgCQdxCxJPgqYFNWF9,1842-12-29,1848-04-10,Regeringen Nordenfalk,finansminister
i-r1VTfFi2u63HbDnjDKUPf,1842-12-29,1844-05-18,Regeringen Törnebladh,ecklesiastikminister
i-FQNi1j1M668gRqjAAsHwZU,1843-04-28,1844-05-18,Regeringen Gyllenhaal,lantförsvarsminister
i-2vQMFNG74R6NrMhiffezmV,1844-05-18,1844-12-28,Regeringen Gyllenhaal,konsultativt statsråd
i-MBdZLSXiN9wk7MJav1b56t,1844-05-18,1848-04-10,Regeringen Mauritz Posse II,ecklesiastikminister
i-Rt3io4SXncGB6WasaKyQXx,1844-05-18,1848-04-10,Regeringen Mauritz Posse II,lantförsvarsminister
i-Rt3io4SXncGB6WasaKyQXx,1844-05-18,1848-04-10,Regeringen Nordenfalk,lantförsvarsminister
i-QGnhyfdvdoYXLiJoNBw2sS,1844-06-20,1848-04-10,Regeringen Gyllenhaal,sjöförsvarsminister
i-QGnhyfdvdoYXLiJoNBw2sS,1844-06-20,1848-04-10,Regeringen Mauritz Posse II,sjöförsvarsminister
i-QGnhyfdvdoYXLiJoNBw2sS,1844-06-20,1848-04-10,Regeringen Nordenfalk,sjöförsvarsminister
i-71vobmtRM8VayAVJKWNYrF,1844-12-28,1848-04-10,Regeringen Mauritz Posse II,konsultativt statsråd
i-71vobmtRM8VayAVJKWNYrF,1844-12-28,1848-04-10,Regeringen Nordenfalk,konsultativt statsråd
i-9hXFBy6ojwu8oqarGUPSqM,1847-09-23,1856-12-16,Regeringen Mauritz Posse II,civilminister
i-9hXFBy6ojwu8oqarGUPSqM,1847-09-23,1856-12-16,Regeringen Sparre,civilminister
i-35xJbKo6VkrJQSnGvrd9Vj,1848-04-10,1856-05-28,Regeringen Sparre,konsultativt statsråd
i-CJ8VxhEn7B4ML38d2dZPgd,1848-04-10,1853-06-11,Regeringen Sparre,lantförsvarsminister
i-GJtdC1efJ8G38jWRyZ61q1,1848-04-10,1851-01-07,Regeringen Sparre,finansminister
i-HkbV7naLvKYhPjwbPjCEEY,1848-04-10,1852-04-03,Regeringen Sparre,ecklesiastikminister
i-TsMqhfCPmjcfSTFKWTpnLg,1848-04-10,1851-09-04,Regeringen Sparre,konsultativt statsråd
i-TxcRm9FeRsY9aHRjmbJL5q,1848-04-10,1849-04-27,Regeringen Sparre,sjöförsvarsminister
i-LCcpUNpbfh4oCj9DbmSZS3,1849-04-27,1852-04-08,Regeringen Sparre,sjöförsvarsminister
i-LwvcNaPMhAWjNbQCGw9TXs,1851,1856,Regeringen Sparre,finansminister
i-35xJbKo6VkrJQSnGvrd9Vj,1851-01-10,1851-10-21,Regeringen Sparre,finansminister
i-5NHFmpZ6u5oCn4Zk1mnptg,1852-04-03,1855-03-09,Regeringen Sparre,ecklesiastikminister
i-TW8WmQsY98uSVdhpY1vvem,1852-04-08,1857-12-30,Regeringen Günther,sjöförsvarsminister
i-TW8WmQsY98uSVdhpY1vvem,1852-04-08,1857-12-30,Regeringen Sparre,sjöförsvarsminister
i-FNweMv3T21DVohEFW14YxW,1853-06-11,1858-09-24,Regeringen De Geer d.ä. I,lantförsvarsminister
i-FNweMv3T21DVohEFW14YxW,1853-06-11,1858-09-24,Regeringen Günther,lantförsvarsminister
i-FNweMv3T21DVohEFW14YxW,1853-06-11,1858-09-24,Regeringen Sparre,lantförsvarsminister
i-PeSWcghEjEUi6cLuHSgiyF,1855-03-09,1859-01-29,Regeringen De Geer d.ä. I,ecklesiastikminister
i-PeSWcghEjEUi6cLuHSgiyF,1855-03-09,1859-01-29,Regeringen Günther,ecklesiastikminister
i-PeSWcghEjEUi6cLuHSgiyF,1855-03-09,1859-01-29,Regeringen Sparre,ecklesiastikminister
i-35xJbKo6VkrJQSnGvrd9Vj,1856-05-28,1866-07-04,Regeringen De Geer d.ä. I,finansminister
