person_id,start,end,party,party_id,swerik_party_id
i-P2Qeo7VM9UV2RSExyEhtHW,2018-05-07,2018-09-24,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-P2VosZDBLieC2KgU9A7EkA,1976-10-11,1978-10-17,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P2x4fiHNXrW2XTzJZRJeJJ,2002-09-30,2006-10-02,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-P2x4fiHNXrW2XTzJZRJeJJ,2006-10-02,2010-10-04,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-P2x4fiHNXrW2XTzJZRJeJJ,2010-10-04,2014-09-29,Moderata samlingspartiet,Q110843,i-F6Stwe8wVnSPa3BbgusszQ
i-P4Whrc3PQ9jPwPpdLqCHem,1971-01-11,1974-01-10,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P4Whrc3PQ9jPwPpdLqCHem,1974-01-10,1976-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P4Whrc3PQ9jPwPpdLqCHem,1976-10-04,1979-10-01,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P4Whrc3PQ9jPwPpdLqCHem,1979-10-01,1982-10-04,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P4Whrc3PQ9jPwPpdLqCHem,1982-10-04,1984-03-31,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P4eb32pJuMuR38f1bgmB9P,2005-05-09,2005-06-10,Folkpartiet liberalerna,Q110857,i-Hm85EQfFmbYuYFPjpXtuCj
i-P5ebaA4LxLzZVfc4JTiomh,2022-09-26,,Centerpartiet,Q110832,i-UiFZiVNo3YgVfyN93Qigiv
i-P5rm7iQUw3XVJTWZFFCrNR,1994-10-03,1998-10-05,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P5rm7iQUw3XVJTWZFFCrNR,1998-10-05,2002-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P769SjFVauFy2g8JW9w9Ft,1971-01-11,1974-01-10,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P769SjFVauFy2g8JW9w9Ft,1974-01-10,1976-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P769SjFVauFy2g8JW9w9Ft,1976-10-04,1979-10-01,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P769SjFVauFy2g8JW9w9Ft,1979-10-01,1982-10-04,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P769SjFVauFy2g8JW9w9Ft,1982-10-04,1985-09-30,Socialdemokraterna,Q105112,i-VS8ddgxigwL5TceKtXGApS
i-P7oVLGoBfbz4RGE5XkQtLN,1971-01-11,1974-01-10,Folkpartiet,Q110857,i-FpGjUCojANuvvwqsNXjcuu
