calendar_year,parliament_year,chamber,swerik_party_id,nr_seats
1926,1926,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1927,1927,ak,i-9fghptqkyNzTVdA8knRCGq,4
1927,1927,ak,i-VS8ddgxigwL5TceKtXGApS,105
1927,1927,ak,i-CNbGLyuzdkRJ2sJBBpzJit,23
1927,1927,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1927,1927,ak,i-NhgK2ujGF5t35o2VjT8Q5U,65
1927,1927,ak,i-TQCUzfkvYhBFrXeQwXoENH,4
1927,1927,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1927,1927,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1927,1927,fk,i-3kDgsboJBSv4zGqF4zfCsY,45
1927,1927,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1927,1927,fk,i-V7MTfG5XaAmjbSDtLkyyfc,23
1927,1927,fk,i-CNbGLyuzdkRJ2sJBBpzJit,15
1927,1927,fk,i-9fghptqkyNzTVdA8knRCGq,8
1927,1927,fk,i-VS8ddgxigwL5TceKtXGApS,52
1927,1927,fk,i-F6Stwe8wVnSPa3BbgusszQ,1
1927,1927,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1928,1928,ak,i-9fghptqkyNzTVdA8knRCGq,4
1928,1928,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1
1928,1928,ak,i-CNbGLyuzdkRJ2sJBBpzJit,23
1928,1928,ak,i-NhgK2ujGF5t35o2VjT8Q5U,64
1928,1928,ak,i-TQCUzfkvYhBFrXeQwXoENH,4
1928,1928,ak,i-VS8ddgxigwL5TceKtXGApS,105
1928,1928,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1928,1928,fk,i-CNbGLyuzdkRJ2sJBBpzJit,12
1928,1928,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,3
1928,1928,fk,i-V7MTfG5XaAmjbSDtLkyyfc,23
1928,1928,fk,i-VS8ddgxigwL5TceKtXGApS,52
1928,1928,fk,i-F6Stwe8wVnSPa3BbgusszQ,1
1928,1928,fk,i-3kDgsboJBSv4zGqF4zfCsY,48
1928,1928,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1928,1928,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1928,1928,fk,i-9fghptqkyNzTVdA8knRCGq,7
1929,1929,ak,i-9fghptqkyNzTVdA8knRCGq,4
1929,1929,ak,i-V7MTfG5XaAmjbSDtLkyyfc,28
1929,1929,ak,i-CNbGLyuzdkRJ2sJBBpzJit,27
1929,1929,ak,No SWERIK-id found,3
1929,1929,ak,i-TQCUzfkvYhBFrXeQwXoENH,3
1929,1929,ak,i-VS8ddgxigwL5TceKtXGApS,92
1929,1929,ak,i-NhgK2ujGF5t35o2VjT8Q5U,73
1929,1929,fk,i-UiFZiVNo3YgVfyN93Qigiv,1
1929,1929,fk,i-V7MTfG5XaAmjbSDtLkyyfc,23
1929,1929,fk,i-VS8ddgxigwL5TceKtXGApS,51
1929,1929,fk,i-CNbGLyuzdkRJ2sJBBpzJit,16
1929,1929,fk,i-TQCUzfkvYhBFrXeQwXoENH,1
1929,1929,fk,i-3kDgsboJBSv4zGqF4zfCsY,46
1929,1929,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,2
