parliament_year,chamber,swerik_party_id,calendar_year,nr_seats_snapshot,nr_seats_gold,party,inception,dissolution,missing_party_mapping,diff,abs_diff
1920,fk,i-PvAXgvY3G8qXv1ZM9xudRA,1920,7,0,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,7,7
1920,fk,i-SwzbNNYoyZYULLDiTu2zGP,1920,3,1,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,2,2
1920,fk,i-VS8ddgxigwL5TceKtXGApS,1920,46,16,Socialdemokraterna,1889-01-01,9999-12-31,false,30,30
1921,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1921,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1921,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1921,18,0,Bondeförbundet,1913-01-01,1956-12-31,false,18,18
1921,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1921,44,47,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-3,3
1921,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1921,65,71,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-6,6
1921,ak,i-PvAXgvY3G8qXv1ZM9xudRA,1921,9,30,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,-21,21
1921,ak,i-SwzbNNYoyZYULLDiTu2zGP,1921,5,5,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,0,0
1921,ak,i-TQCUzfkvYhBFrXeQwXoENH,1921,2,2,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,0,0
1921,ak,i-UiFZiVNo3YgVfyN93Qigiv,1921,1,0,Centerpartiet,1957-01-01,9999-12-31,false,1,1
1921,ak,i-VS8ddgxigwL5TceKtXGApS,1921,67,75,Socialdemokraterna,1889-01-01,9999-12-31,false,-8,8
1921,fk,No SWERIK-id found,1921,1,0,No SWERIK-id found,,,true,1,1
1921,fk,i-3kDgsboJBSv4zGqF4zfCsY,1921,35,37,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-2,2
1921,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1921,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1921,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1921,9,0,Bondeförbundet,1913-01-01,1956-12-31,false,9,9
1921,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1921,40,40,Liberala samlingspartiet,1900-01-16,1924-01-01,false,0,0
1921,fk,i-PvAXgvY3G8qXv1ZM9xudRA,1921,8,19,Jordbrukarnas fria grupp,1918-01-01,1922-01-01,false,-11,11
1921,fk,i-SwzbNNYoyZYULLDiTu2zGP,1921,2,1,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,1,1
1921,fk,i-TQCUzfkvYhBFrXeQwXoENH,1921,1,3,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,-2,2
1921,fk,i-VS8ddgxigwL5TceKtXGApS,1921,48,51,Socialdemokraterna,1889-01-01,9999-12-31,false,-3,3
1922,ak,No SWERIK-id found,1922,2,0,No SWERIK-id found,,,true,2,2
1922,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1922,1,0,Utan partibeteckning,1000-01-01,9999-12-31,false,1,1
1922,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1922,21,21,Bondeförbundet,1913-01-01,1956-12-31,false,0,0
1922,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1922,41,41,Liberala samlingspartiet,1900-01-16,1924-01-01,false,0,0
1922,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1922,60,62,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-2,2
1922,ak,i-SwzbNNYoyZYULLDiTu2zGP,1922,6,6,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,0,0
1922,ak,i-TQCUzfkvYhBFrXeQwXoENH,1922,5,7,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,-2,2
1922,ak,i-VS8ddgxigwL5TceKtXGApS,1922,93,93,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
1922,fk,i-3kDgsboJBSv4zGqF4zfCsY,1922,39,41,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-2,2
1922,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1922,2,0,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1922,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1922,18,18,Bondeförbundet,1913-01-01,1956-12-31,false,0,0
1922,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1922,39,38,Liberala samlingspartiet,1900-01-16,1924-01-01,false,1,1
1922,fk,i-SwzbNNYoyZYULLDiTu2zGP,1922,1,2,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,-1,1
1922,fk,i-TQCUzfkvYhBFrXeQwXoENH,1922,1,1,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,0,0
1922,fk,i-VS8ddgxigwL5TceKtXGApS,1922,50,50,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
1922,fk,i-3kDgsboJBSv4zGqF4zfCsY,1923,38,41,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-3,3
1922,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1923,3,0,Utan partibeteckning,1000-01-01,9999-12-31,false,3,3
1922,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1923,17,18,Bondeförbundet,1913-01-01,1956-12-31,false,-1,1
1922,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1923,38,38,Liberala samlingspartiet,1900-01-16,1924-01-01,false,0,0
1922,fk,i-SwzbNNYoyZYULLDiTu2zGP,1923,2,2,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,0,0
1922,fk,i-TQCUzfkvYhBFrXeQwXoENH,1923,1,1,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,0,0
1922,fk,i-VS8ddgxigwL5TceKtXGApS,1923,50,50,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
1923,ak,No SWERIK-id found,1923,2,0,No SWERIK-id found,,,true,2,2
1923,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1923,21,21,Bondeförbundet,1913-01-01,1956-12-31,false,0,0
1923,ak,i-JmAkiEUKt5ZBgaCKGCMNu2,1923,41,41,Liberala samlingspartiet,1900-01-16,1924-01-01,false,0,0
1923,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1923,61,62,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,-1,1
1923,ak,i-SwzbNNYoyZYULLDiTu2zGP,1923,6,6,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,0,0
1923,ak,i-TQCUzfkvYhBFrXeQwXoENH,1923,5,7,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,-2,2
1923,ak,i-VS8ddgxigwL5TceKtXGApS,1923,93,93,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
1924,ak,No SWERIK-id found,1924,2,0,No SWERIK-id found,,,true,2,2
1924,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1924,5,0,Utan partibeteckning,1000-01-01,9999-12-31,false,5,5
1924,ak,i-9fghptqkyNzTVdA8knRCGq,1924,6,6,Liberala riksdagspartiet,1924-01-01,1935-01-01,false,0,0
1924,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1924,21,21,Bondeförbundet,1913-01-01,1956-12-31,false,0,0
1924,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1924,62,62,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,0,0
1924,ak,i-SwzbNNYoyZYULLDiTu2zGP,1924,0,6,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,-6,6
1924,ak,i-TQCUzfkvYhBFrXeQwXoENH,1924,5,7,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,-2,2
1924,ak,i-V7MTfG5XaAmjbSDtLkyyfc,1924,30,35,Frisinnade folkpartiet,1924-01-01,1935-01-01,false,-5,5
1924,ak,i-VS8ddgxigwL5TceKtXGApS,1924,99,93,Socialdemokraterna,1889-01-01,9999-12-31,false,6,6
1924,fk,i-3kDgsboJBSv4zGqF4zfCsY,1924,41,41,Första kammarens nationella parti,1912-01-01,1935-01-01,false,0,0
1924,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1924,4,0,Utan partibeteckning,1000-01-01,9999-12-31,false,4,4
1924,fk,i-9fghptqkyNzTVdA8knRCGq,1924,12,14,Liberala riksdagspartiet,1924-01-01,1935-01-01,false,-2,2
1924,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1924,17,18,Bondeförbundet,1913-01-01,1956-12-31,false,-1,1
1924,fk,i-JmAkiEUKt5ZBgaCKGCMNu2,1924,1,38,Liberala samlingspartiet,1900-01-16,1924-01-01,false,-37,37
1924,fk,i-SwzbNNYoyZYULLDiTu2zGP,1924,0,2,Socialdemokratiska vänstergruppen,1917-01-01,1924-01-01,false,-2,2
1924,fk,i-TQCUzfkvYhBFrXeQwXoENH,1924,1,1,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,0,0
1924,fk,i-V7MTfG5XaAmjbSDtLkyyfc,1924,21,24,Frisinnade folkpartiet,1924-01-01,1935-01-01,false,-3,3
1924,fk,i-VS8ddgxigwL5TceKtXGApS,1924,52,50,Socialdemokraterna,1889-01-01,9999-12-31,false,2,2
1925,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1925,3,2,Utan partibeteckning,1000-01-01,9999-12-31,false,1,1
1925,ak,i-9fghptqkyNzTVdA8knRCGq,1925,4,4,Liberala riksdagspartiet,1924-01-01,1935-01-01,false,0,0
1925,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1925,23,23,Bondeförbundet,1913-01-01,1956-12-31,false,0,0
1925,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1925,66,65,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,1,1
1925,ak,i-TQCUzfkvYhBFrXeQwXoENH,1925,4,5,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,-1,1
1925,ak,i-V7MTfG5XaAmjbSDtLkyyfc,1925,27,27,Frisinnade folkpartiet,1924-01-01,1935-01-01,false,0,0
1925,ak,i-VS8ddgxigwL5TceKtXGApS,1925,103,104,Socialdemokraterna,1889-01-01,9999-12-31,false,-1,1
1925,fk,i-3kDgsboJBSv4zGqF4zfCsY,1925,41,44,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-3,3
1925,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1925,4,2,Utan partibeteckning,1000-01-01,9999-12-31,false,2,2
1925,fk,i-9fghptqkyNzTVdA8knRCGq,1925,12,13,Liberala riksdagspartiet,1924-01-01,1935-01-01,false,-1,1
1925,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1925,17,18,Bondeförbundet,1913-01-01,1956-12-31,false,-1,1
1925,fk,i-TQCUzfkvYhBFrXeQwXoENH,1925,1,1,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,0,0
1925,fk,i-UiFZiVNo3YgVfyN93Qigiv,1925,1,0,Centerpartiet,1957-01-01,9999-12-31,false,1,1
1925,fk,i-V7MTfG5XaAmjbSDtLkyyfc,1925,21,20,Frisinnade folkpartiet,1924-01-01,1935-01-01,false,1,1
1925,fk,i-VS8ddgxigwL5TceKtXGApS,1925,52,52,Socialdemokraterna,1889-01-01,9999-12-31,false,0,0
1926,ak,i-851f4cdfa36f4dbab4b24855a1eb43ce,1926,1,2,Utan partibeteckning,1000-01-01,9999-12-31,false,-1,1
1926,ak,i-9fghptqkyNzTVdA8knRCGq,1926,4,4,Liberala riksdagspartiet,1924-01-01,1935-01-01,false,0,0
1926,ak,i-CNbGLyuzdkRJ2sJBBpzJit,1926,23,23,Bondeförbundet,1913-01-01,1956-12-31,false,0,0
1926,ak,i-NhgK2ujGF5t35o2VjT8Q5U,1926,65,65,Lantmanna- och borgarepartiet inom andrakammaren,1912-01-01,1935-01-01,false,0,0
1926,ak,i-TQCUzfkvYhBFrXeQwXoENH,1926,4,5,Sveriges kommunistiska parti,1921-01-01,1967-01-01,false,-1,1
1926,ak,i-V7MTfG5XaAmjbSDtLkyyfc,1926,28,27,Frisinnade folkpartiet,1924-01-01,1935-01-01,false,1,1
1926,ak,i-VS8ddgxigwL5TceKtXGApS,1926,105,104,Socialdemokraterna,1889-01-01,9999-12-31,false,1,1
1926,fk,i-3kDgsboJBSv4zGqF4zfCsY,1926,43,44,Första kammarens nationella parti,1912-01-01,1935-01-01,false,-1,1
1926,fk,i-851f4cdfa36f4dbab4b24855a1eb43ce,1926,3,2,Utan partibeteckning,1000-01-01,9999-12-31,false,1,1
1926,fk,i-9fghptqkyNzTVdA8knRCGq,1926,9,13,Liberala riksdagspartiet,1924-01-01,1935-01-01,false,-4,4
1926,fk,i-CNbGLyuzdkRJ2sJBBpzJit,1926,15,18,Bondeförbundet,1913-01-01,1956-12-31,false,-3,3
