year,chamber,party_id,nr_seats,artificial
1965,ak,i-UiFZiVNo3YgVfyN93Qigiv,35
1965,ak,i-FpGjUCojANuvvwqsNXjcuu,43
1965,ak,i-VS8ddgxigwL5TceKtXGApS,113
1965,ak,i-TQCUzfkvYhBFrXeQwXoENH,8
1965,ak,i-ANbQF76SzeSESXQFvzPzFw,1
1967,ak,i-4nyjRorziqEDtDmp1ZXDoP,33,1
1967,ak,i-UiFZiVNo3YgVfyN93Qigiv,35,1
1967,ak,i-FpGjUCojANuvvwqsNXjcuu,43,1
1967,ak,i-VS8ddgxigwL5TceKtXGApS,113,1
1967,ak,i-2SVXJYpXaRHXxbWRcbRd5N,8,1
1967,ak,i-ANbQF76SzeSESXQFvzPzFw,1,1
1969,ak,i-F6Stwe8wVnSPa3BbgusszQ,32,1
1969,ak,i-UiFZiVNo3YgVfyN93Qigiv,39
1969,ak,i-FpGjUCojANuvvwqsNXjcuu,34
1969,ak,i-VS8ddgxigwL5TceKtXGApS,125
1969,ak,i-2SVXJYpXaRHXxbWRcbRd5N,3
1971,ek,i-2SVXJYpXaRHXxbWRcbRd5N,17
1971,ek,i-VS8ddgxigwL5TceKtXGApS,163
1971,ek,i-UiFZiVNo3YgVfyN93Qigiv,71
1971,ek,i-FpGjUCojANuvvwqsNXjcuu,58
1971,ek,i-F6Stwe8wVnSPa3BbgusszQ,41
1974,ek,i-2SVXJYpXaRHXxbWRcbRd5N,19
1974,ek,i-VS8ddgxigwL5TceKtXGApS,156
1974,ek,i-UiFZiVNo3YgVfyN93Qigiv,90
1974,ek,i-FpGjUCojANuvvwqsNXjcuu,34
1974,ek,i-F6Stwe8wVnSPa3BbgusszQ,51
197576,ek,i-2SVXJYpXaRHXxbWRcbRd5N,17
197576,ek,i-VS8ddgxigwL5TceKtXGApS,152
197576,ek,i-UiFZiVNo3YgVfyN93Qigiv,86
197576,ek,i-FpGjUCojANuvvwqsNXjcuu,39
197576,ek,i-F6Stwe8wVnSPa3BbgusszQ,55
197980,ek,i-2SVXJYpXaRHXxbWRcbRd5N,20
197980,ek,i-VS8ddgxigwL5TceKtXGApS,154
197980,ek,i-UiFZiVNo3YgVfyN93Qigiv,64
197980,ek,i-FpGjUCojANuvvwqsNXjcuu,38
197980,ek,i-F6Stwe8wVnSPa3BbgusszQ,73
198283,ek,i-2SVXJYpXaRHXxbWRcbRd5N,20
198283,ek,i-VS8ddgxigwL5TceKtXGApS,166
198283,ek,i-UiFZiVNo3YgVfyN93Qigiv,56
198283,ek,i-FpGjUCojANuvvwqsNXjcuu,21
198283,ek,i-F6Stwe8wVnSPa3BbgusszQ,86
198586,ek,i-2SVXJYpXaRHXxbWRcbRd5N,19
198586,ek,i-VS8ddgxigwL5TceKtXGApS,159
198586,ek,i-UiFZiVNo3YgVfyN93Qigiv,44
198586,ek,i-FpGjUCojANuvvwqsNXjcuu,51
198586,ek,i-F6Stwe8wVnSPa3BbgusszQ,76
198889,ek,i-2SVXJYpXaRHXxbWRcbRd5N,21
198889,ek,i-VS8ddgxigwL5TceKtXGApS,156
198889,ek,i-Qha9NerKBigcjJXgoRk4Md,20
198889,ek,i-UiFZiVNo3YgVfyN93Qigiv,42
198889,ek,i-FpGjUCojANuvvwqsNXjcuu,44
198889,ek,i-F6Stwe8wVnSPa3BbgusszQ,66
199091,ek,i-CJb7bcc1eZcehvGarg8GpB,21,1
199091,ek,i-VS8ddgxigwL5TceKtXGApS,156,1
199091,ek,i-Qha9NerKBigcjJXgoRk4Md,20,1
199091,ek,i-UiFZiVNo3YgVfyN93Qigiv,42,1
199091,ek,i-Hm85EQfFmbYuYFPjpXtuCj,44,1
199091,ek,i-F6Stwe8wVnSPa3BbgusszQ,66,1
199192,ek,i-CJb7bcc1eZcehvGarg8GpB,16
199192,ek,i-VS8ddgxigwL5TceKtXGApS,138
199192,ek,i-UiFZiVNo3YgVfyN93Qigiv,31
199192,ek,i-Hm85EQfFmbYuYFPjpXtuCj,33
199192,ek,i-B79rKJX4ZV61ozevGt8JLL,26
199192,ek,i-F6Stwe8wVnSPa3BbgusszQ,80
199192,ek,i-YYGgpk3VEG9XW1wZTzUShT,25
199495,ek,i-CJb7bcc1eZcehvGarg8GpB,22
199495,ek,i-VS8ddgxigwL5TceKtXGApS,161
199495,ek,i-Qha9NerKBigcjJXgoRk4Md,18
199495,ek,i-UiFZiVNo3YgVfyN93Qigiv,27
199495,ek,i-Hm85EQfFmbYuYFPjpXtuCj,26
199495,ek,i-B79rKJX4ZV61ozevGt8JLL,15
199495,ek,i-F6Stwe8wVnSPa3BbgusszQ,80
199697,ek,i-CJb7bcc1eZcehvGarg8GpB,22,1
199697,ek,i-VS8ddgxigwL5TceKtXGApS,161,1
199697,ek,i-Qha9NerKBigcjJXgoRk4Md,18,1
199697,ek,i-UiFZiVNo3YgVfyN93Qigiv,27,1
199697,ek,i-Hm85EQfFmbYuYFPjpXtuCj,26,1
199697,ek,i-BRRSButj7zSqB1u7zD6hod,15,1
199697,ek,i-F6Stwe8wVnSPa3BbgusszQ,80,1
199899,ek,i-CJb7bcc1eZcehvGarg8GpB,43
199899,ek,i-VS8ddgxigwL5TceKtXGApS,131
199899,ek,i-Qha9NerKBigcjJXgoRk4Md,16
199899,ek,i-UiFZiVNo3YgVfyN93Qigiv,18
199899,ek,i-Hm85EQfFmbYuYFPjpXtuCj,17
199899,ek,i-BRRSButj7zSqB1u7zD6hod,42
199899,ek,i-F6Stwe8wVnSPa3BbgusszQ,82
200203,ek,i-CJb7bcc1eZcehvGarg8GpB,30
200203,ek,i-VS8ddgxigwL5TceKtXGApS,144
200203,ek,i-Qha9NerKBigcjJXgoRk4Md,17
200203,ek,i-UiFZiVNo3YgVfyN93Qigiv,22
200203,ek,i-Hm85EQfFmbYuYFPjpXtuCj,48
200203,ek,i-BRRSButj7zSqB1u7zD6hod,33
200203,ek,i-F6Stwe8wVnSPa3BbgusszQ,55
200607,ek,i-CJb7bcc1eZcehvGarg8GpB,22
200607,ek,i-VS8ddgxigwL5TceKtXGApS,130
200607,ek,i-Qha9NerKBigcjJXgoRk4Md,19
200607,ek,i-UiFZiVNo3YgVfyN93Qigiv,29
200607,ek,i-Hm85EQfFmbYuYFPjpXtuCj,28
200607,ek,i-BRRSButj7zSqB1u7zD6hod,24
200607,ek,i-F6Stwe8wVnSPa3BbgusszQ,97
201011,ek,i-CJb7bcc1eZcehvGarg8GpB,19
201011,ek,i-VS8ddgxigwL5TceKtXGApS,112
201011,ek,i-Qha9NerKBigcjJXgoRk4Md,25
